date,time
2024-08-11,15:51:53.745187
2024-08-13,15:39:52.064375
2024-08-16,16:13:56.097375
2024-08-18,16:03:59.419906
2024-08-22,15:41:14.216187
2024-08-25,16:11:41.415812
2024-08-27,16:01:08.726265
2024-08-29,15:51:49.583750
2024-08-31,15:38:33.290156
2024-09-03,16:08:56.534750
2024-09-07,17:18:22.089687
2024-09-09,17:05:34.610996
2024-09-12,17:35:33.827343
2024-09-14,17:25:30.926250
2024-09-16,17:15:58.704062
2024-09-19,17:43:47.657257
2024-09-21,17:33:40.042453
2024-09-23,17:22:25.015312
2024-09-24,18:02:51.666750
2024-09-26,17:51:46.934968
2024-09-28,17:41:56.507359
